#,"What range your age is in?","How do you identify your gender?","Do you have any food intolerance, allergy or preference?",Other,"What is your preferred language when attending talks or workshops?","Which of these choices would match better with your current occupation?","How would you rate, in general, the XXL Meetup?","How appropriate was the duration of the talks at the XXL Meetup?","How appropriate was the depth of the talks at the XXL Meetup?","Learning Representations with Deep Learning in Tensorflow","Road Towards Web for Everyone - A11y in a Django Project","Citybikes: a tale of python and bike sharing","How would you rate the XXL Meetup's venue?","How would you rate the XXL Meetup's refreshment?","How would you rate, in general, the PyDay event?","How appropriate was the duration of the workshops at the PyDay?","How appropriate was the depth of the workshops at the PyDay?","Python Programming Introduction Course","Introduction to Jupyter","Introduction to Web Development with Django",Testing,"Serverless deployment in AWS with Zappa","Asyncio from the theory to the practice","Workshop on MondoDB with Python","How would you rate the PyDay's venue?","How would you rate the PyDay's lunch and coffee breaks?","How would you rate the whole event's web and the information provided there?","Are there any subjects you would like to hear about at future events?","Are there any speakers, companies or organizations that you would like to have present at a future events?","How did you hear of this event?",Other,"Do you have any other comment to share with us?","Start Date (UTC)","Submit Date (UTC)","Network ID"
e1fd2a6ff9fac3c30554f91fd8326c13,"31 to 40 years old",Male,None,,English,"Science related",,,,,,,,5,4,5,3,4,2,3,,,,,4,5,4,"Sessions between ""beginners"" and ""advanced""",,Colleague/Friend,,,"2016-09-28 12:58:10","2016-09-28 13:01:49",df1f9e8156
c16055f963adf7b056d76c6f54dfead1,"31 to 40 years old",Male,None,,English,"IT related",4,5,5,3,4,5,4,,4,,,,,,,,,,,,,"python in the browser",,"From email at PyBCN's mailing list",,,"2016-09-28 14:37:26","2016-09-28 14:40:30",6dea4fe400
9782a9d78da20711096bdb83bacb6fa4,"Less than 20 years old",Male,None,,English,"IT related",4,3,4,4,5,4,5,4,,,,,,,,,,,,,3,,,Colleague/Friend,,,"2016-09-28 15:02:00","2016-09-28 15:04:30",23b3bc241f
74b3f92d1c5e205bcbdf91fe4da805fa,"31 to 40 years old",Female,None,,English,"Science related",5,0,3,3,5,5,5,4,6,1,3,,5,,4,,,,4,5,5,"Big data
Tricks for optimization  ",,"From email at PyBCN's mailing list",,,"2016-09-28 15:03:43","2016-09-28 15:45:51",34e901c9c9
b7ce2255ca7f37d03300fa5768da8474,"31 to 40 years old",Non-binary,Vegan,,Spanish,"IT related",4,4,5,4,4,,,,,,,,,,,,,,,,,,,"From email at PyLadies BCN mailing list",,,"2016-09-28 17:16:47","2016-09-28 17:18:51",e7059d1bda
071ffb81b4484fb58efb4f8dfe55cce8,"41 to 50 years old",Male,None,,Catalan,"IT related",5,3,3,3,4,5,3,4,5,2,3,,,,,2,4,,3,4,4,,,"From email at PyBCN's mailing list",,,"2016-09-28 22:51:38","2016-09-28 22:55:04",a002f0849a
c8497a83d11e88d75af3bf9818957dbb,"31 to 40 years old",Female,Veggie,,English,"Science related",,,,,,,,,5,2,3,,,,3,,,,,5,5,,,"From email at PyLadies BCN mailing list",,"That veggie spread with miso and tofu was absolutely awesome, where can I buy it? :)","2016-09-29 07:36:07","2016-09-29 07:41:14",72d2fb7eac
9adad0c69a0ea47460650d9163b7973e,"20 to 30 years old",Female,Veggie,,Catalan,Student,,,,,,,,,6,3,2,5,5,5,3,,,,5,5,5,,,"From PyBCN's twitter account",,"Pensant amb vosaltres, potser us hagués estat profitós si, a l'inici de les activitats, haguéssiu dedicat uns 5' a presentar l'organització PyBCN. Era un bon dia per a animar als participants a col·laborar-hi aportant idees/temps/estones de voluntariat... o sigui, facilitant canals de participació! ;-) Però potser vaig ser jo qui no va estar al cas i ja ho vau fer...!! En qualsevol cas, tot va ser impecable, l'enhorabona!","2016-09-29 14:48:29","2016-09-29 15:01:45",335bec9710
075a42177ca3ce68cee2b72c6c888f29,"31 to 40 years old",Male,None,,English,"Science related",5,5,2,1,3,4,4,4,,,,,,,,,,,,,,,,"From PyBCN's twitter account",,"Congratulations for organizing these events. Looking forward for more. ","2016-09-30 15:38:55","2016-09-30 15:42:53",12843cff04
21898000796f6203945d80b34f858a35,"31 to 40 years old",Male,None,,Catalan,"IT related",3,3,3,5,4,5,2,4,4,2,2,,,,3,1,3,3,4,4,3,,,"From email at PyBCN's mailing list",,"Un pyDay molt positiu :D
Si us sembla que valoro baix, ""as usual meetups"" és molt alt! Sempre us ho dic, estem molt mal acostumats amb el nivell de PyBCN!
I a quin idioma prefereixo, he posat català per posar algo: no hi havia l'opció de ""Qualsevol dels 3"".

Al meetup XXL, al refrigeri posterior, la beguda estava molt bé, però vaig trobar a faltar menjar una mica més contundent (pizzes?) a part dels snacks.

Els workshops, els vaig trobar justos de temps que a sobre es van afegir els problemes de xarxa i amb el de Serverless i MongoDB no vam poder fer res. Els de MongoDB van fer un pla B (mostrar demo i ho van salvar bastant).
Estaria bé, per futurs esdeveniments, insistir als speakers que diguin quin software i quina versió de Python (sí, és trist preguntar-ho però hi ha qui encara utilitza el Python 2.7) i quins paquets. Informant als assistents uns quants dies abans per poder-s'ho preparar. Bàsicament, que el workshop comenci amb tots els assistents tenint l'entorn perfectament configurat d'entrada.
Per cert, em va anar bé el litre i mig de cafè que em vaig emportar al recollir... :D:D
I gràcies per l'organització :-) ","2016-10-02 18:38:26","2016-10-02 19:02:43",73570e1dbe
e0839a0b28ad33a2ec8fc52226da90ed,"31 to 40 years old",Male,None,,English,"IT related",6,6,6,5,5,,4,5,6,6,6,5,3,5,,,,,5,5,5,Django,,,Meetup,,"2016-10-03 18:33:50","2016-10-03 18:36:53",95ae8a6fb2
d33f1dd42b476ecd86e15c32e1e147f7,"31 to 40 years old",Female,None,,English,Unemployed,,,,,,,,,4,1,2,4,3,2,,,,,4,5,4,,,"From email at PyLadies BCN mailing list",,,"2016-10-03 18:29:29","2016-10-03 18:56:42",1f5a6daff7
0af6674a326fdb4b49b8947e277bbf65,"20 to 30 years old",Male,None,,Spanish,"IT related",,,,,,,,,4,2,3,,,,,1,5,,2,5,4,"Big data, parallel computing, videogames.",,Colleague/Friend,,,"2016-10-03 18:50:56","2016-10-03 18:57:54",74248ec1a1
3231239e1a74731a9ec88072ae23b510,"31 to 40 years old",Male,None,,English,"IT related",5,4,3,4,3,5,5,5,5,4,5,,5,5,4,1,,,4,5,4,"I could assist to the presentation on MongoDB and I would have interested in that. In general, I like scientific use of Python and I am interested in related talks.","Right now, not especially. But I would contact you if I have a proposition to do.","From email at PyBCN's mailing list",,,"2016-10-03 19:35:48","2016-10-03 19:44:03",e8186134c4
bf585b6eb074a570876df48f5ee6243e,"20 to 30 years old",Female,None,,English,Student,,,,,,,,,5,4,3,,,,,,,,,4,4,,,Colleague/Friend,,,"2016-10-03 20:16:37","2016-10-03 20:21:18",65933d3e60
561e7576274369300a7a5421126d944d,"31 to 40 years old",Male,None,,English,"IT related",,,,2,5,,,,4,4,,,,,,,,,,,,,,Colleague/Friend,,,"2016-10-03 20:41:13","2016-10-03 20:43:34",857cffbc3f
26f742852b5533e1b518a4538dcbe7dd,"31 to 40 years old",Male,None,,English,Student,5,4,4,3,2,4,3,4,,,,,,,,,,,,,,,,"From email at PyBCN's mailing list",,,"2016-10-03 21:12:18","2016-10-03 21:15:18",83538ca6e4
2e5a90f1cc55919ab1e59628c4997a1c,"20 to 30 years old",Male,None,,English,"IT related",1,3,2,2,3,4,1,1,1,3,2,,3,,,,,,1,1,3,,,"From email at PyBCN's mailing list",,"Give microphones to your speakers. People in the back could barely hear the presentation.","2016-10-04 06:15:05","2016-10-04 06:18:59",ab85c21f4a
20c0b9393e9c3b4482acb02de99356c2,"Less than 20 years old",Male,None,,Spanish,Student,6,4,5,5,4,5,3,4,4,5,6,5,4,5,3,3,2,,5,5,5,"
","
","From email at PyBCN's mailing list",,"
","2016-10-04 06:55:37","2016-10-04 06:57:23",213e31083f
22e2cd7011614d36acbac9f119bc6ee8,"31 to 40 years old",Male,None,,Spanish,"IT related",,,,,,,,,4,3,4,,,,4,3,,,3,4,4,,,"From email at PyBCN's mailing list",,,"2016-10-04 07:03:44","2016-10-04 07:06:07",f5eb53d562
c41676e61a198297a9df4a5c032c9632,"20 to 30 years old",Male,None,,Spanish,"IT related",,,,,,,,,5,2,3,,,,4,,5,2,4,4,4,,,"From email at PyBCN's mailing list",,,"2016-10-04 07:03:25","2016-10-04 07:09:01",67ea1e63d7
0a4934fdccaa72d69d25fd6d1a4a67b3,"31 to 40 years old",Male,None,,English,"IT related",4,5,5,5,1,2,5,4,,,,,,,,,,,,,,,,"From email at PyBCN's mailing list",,,"2016-10-04 07:15:30","2016-10-04 07:18:18",850b11ea40
f7fb385b934fe2e5d65405e2540af0d7,"20 to 30 years old",Female,None,,English,"IT related",,,,,,,,,4,3,3,,4,,,3,,,4,5,5,"- Workshop of Data Analysis
- Python & Spark & Hadoop
- Data Visualization with Seaborn, Bokeh
- More about Django",,"From email at PyBCN's mailing list",,,"2016-10-04 07:45:55","2016-10-04 08:01:13",5004a7cb0c
07486a0efbcc1cb7d86ad7375514c46d,"20 to 30 years old",Male,None,,English,"Science related",4,3,3,5,,,5,,,,,,,,,,,,,,,,,Colleague/Friend,,,"2016-10-04 09:16:14","2016-10-04 09:18:31",d988a42b00
893b55f27759f889460e80f172b82756,"20 to 30 years old",Male,None,,English,"IT related",,,,,,,,,4,4,3,,,,,3,4,,4,4,4,,,"Other sources in Internet",,,"2016-10-04 07:46:34","2016-10-04 10:42:35",7d19955d65
75c250a9c67aadd8e1d3e132ef9a6d18,"20 to 30 years old",Female,None,,Catalan,"Science related",,,,,,,,,4,2,3,4,4,4,,,,,4,4,3,"At beginner's talks or events it could be better to concentrate in one specific thing and work more with it because when you have to practise is when you see if you understand or not the theory.

Maybe, because my level of informatics in generals was horrible, it was a little difficult to keep pace in class especially when we have to install all the things and programs and paquets using the console. It would have been easier if all this things had been done before or with more time and slowly.",,Colleague/Friend,,,"2016-10-04 10:50:31","2016-10-04 11:21:35",dc0d341919
4cd10a558222fd499b59bd48a6a62305,"41 to 50 years old",Male,Vegan,,English,"IT related",2,3,1,,3,,5,3,2,3,1,,,2,,,1,,5,,5,"The past topics were pretty good, bit their treatment was pretty bad, ie the coverage was either too superficial and way too noobish, or too advanced and poorly structured, making too many assumptions about the audience's level of preparedness. The asyncio session was one example of this. Learning about frameworks and libraries is probably much more efficient on your own, following a good book or video tutorial. Being proficient in a topic is not enough - one has to also be a good presenter.",,,"pybcn meetup group","Please keep doing it! It's great that you are collecting feedback and seek to make the event better. Imo there is a lot that can be improved.","2016-10-05 05:01:38","2016-10-05 05:15:25",8b6446d321
3cb6a8dda1e889da385415385c2b91d6,"31 to 40 years old",Male,None,,English,"Science related",,,,,,,,,5,3,3,,,,,,4,,5,4,5,,,"From email at PyBCN's mailing list",,,"2016-10-06 20:40:22","2016-10-06 20:43:29",54af49c280
